id,plot,KEY1,SubmissionDate,uuid,start,today,deviceid,subscriberid,username,banner,intro,ENID,country,projectCode,Latitude,Longitude,Altitude,Accuracy,lookup,FDID2,TLID2,parameters,PD_tubers,tuberQuality,tuberSampling,end,instanceID,POID2,POID2_label,plotLength,plotWidth,nrPlants,tubersNr,tubersSmallNr,tubersDiseasedNr,tubersMarketableNr,tubersFW,tubersSmallFW,tubersDiseasedFW,tubersMarketableFW,tubersFWss,tubersPSID,tubersDiseasedFWss,tubersDiseasedPSID,tubersSmallFWss,tubersSmallPSID,tubersMarketableFWss,tubersMarketablePSID,Pdtubers_count,Pdtubers,KEY2,treat,tuberY
1,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,7/15/2021 17:06,7bc552b3ea044f02bba8573cbaea00ba,7/15/2021 9:12,15-Jul-21,collect:4jc4H19POHCxjWbN,NA,ciprwanda2020,NA,NA,SAENRW000004,RW,SA,-1.9257605,29.4953935,2360.785545,3.9,SARW_E29.4975N-1.9225,SAFDRW528548688175,SATLRW690948225299,plantStand tuberYield,no,no,yes,7/15/2021 16:59,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,SAPORW911142642646,"NPK11_rep1_(2,2)",4.8,4.8,47,494,NA,NA,NA,34,NA,NA,NA,480,SAPSRW000599,NA,NA,NA,NA,NA,NA,0,NA,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot[5],NPK11,14.75694444
2,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,7/15/2021 17:06,7bc552b3ea044f02bba8573cbaea00ba,7/15/2021 9:12,15-Jul-21,collect:4jc4H19POHCxjWbN,NA,ciprwanda2020,NA,NA,SAENRW000004,RW,SA,-1.9257605,29.4953935,2360.785545,3.9,SARW_E29.4975N-1.9225,SAFDRW528548688175,SATLRW690948225299,plantStand tuberYield,no,no,yes,7/15/2021 16:59,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,SAPORW368244120811,"NPK4_MOP2_(1,2)",4.8,4.8,51,406,NA,NA,NA,20.5,NA,NA,NA,420,SAPSRW000598,NA,NA,NA,NA,NA,NA,0,NA,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot[4],NPK4_MOP2,8.897569444
3,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,7/15/2021 17:06,7bc552b3ea044f02bba8573cbaea00ba,7/15/2021 9:12,15-Jul-21,collect:4jc4H19POHCxjWbN,NA,ciprwanda2020,NA,NA,SAENRW000004,RW,SA,-1.9257605,29.4953935,2360.785545,3.9,SARW_E29.4975N-1.9225,SAFDRW528548688175,SATLRW690948225299,plantStand tuberYield,no,no,yes,7/15/2021 16:59,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,SAPORW639811195843,"NPK11_rep2_(3,1)",4.8,4.8,53,700,NA,NA,NA,51,NA,NA,NA,500,SAPSRW000597,NA,NA,NA,NA,NA,NA,0,NA,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot[3],NPK11,22.13541667
4,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,7/15/2021 17:06,7bc552b3ea044f02bba8573cbaea00ba,7/15/2021 9:12,15-Jul-21,collect:4jc4H19POHCxjWbN,NA,ciprwanda2020,NA,NA,SAENRW000004,RW,SA,-1.9257605,29.4953935,2360.785545,3.9,SARW_E29.4975N-1.9225,SAFDRW528548688175,SATLRW690948225299,plantStand tuberYield,no,no,yes,7/15/2021 16:59,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,SAPORW429907808202,"NPK4_DAP2_(1,1)",4.8,4.8,59,462,NA,NA,NA,34,NA,NA,NA,490,SAPSRW000595,NA,NA,NA,NA,NA,NA,0,NA,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot[1],NPK4_DAP2,14.75694444
5,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,7/15/2021 17:06,7bc552b3ea044f02bba8573cbaea00ba,7/15/2021 9:12,15-Jul-21,collect:4jc4H19POHCxjWbN,NA,ciprwanda2020,NA,NA,SAENRW000004,RW,SA,-1.9257605,29.4953935,2360.785545,3.9,SARW_E29.4975N-1.9225,SAFDRW528548688175,SATLRW690948225299,plantStand tuberYield,no,no,yes,7/15/2021 16:59,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,SAPORW964489228596,"NPK6_(2,1)",4.8,4.8,49,472,NA,NA,NA,28,NA,NA,NA,380,SAPSRW000596,NA,NA,NA,NA,NA,NA,0,NA,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot[2],NPK6,12.15277778
6,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,7/15/2021 17:06,7bc552b3ea044f02bba8573cbaea00ba,7/15/2021 9:12,15-Jul-21,collect:4jc4H19POHCxjWbN,NA,ciprwanda2020,NA,NA,SAENRW000004,RW,SA,-1.9257605,29.4953935,2360.785545,3.9,SARW_E29.4975N-1.9225,SAFDRW528548688175,SATLRW690948225299,plantStand tuberYield,no,no,yes,7/15/2021 16:59,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc,SAPORW550327653405,"NPK4_UREA2_(3,2)",4.8,4.8,52,461,NA,NA,NA,35,NA,NA,NA,440,SAPSRW000600,NA,NA,NA,NA,NA,NA,0,NA,uuid:00058cf8-5052-47cc-ab3f-2a19c15f96cc/plot[6],NPK4_UREA2,15.19097222
7,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,1/4/2021 8:03,7bc552b3ea044f02bba8573cbaea00ba,1/4/2021 7:50,4-Jan-21,collect:n2aqFvX7qWib4UeK,NA,ciprwanda2020,NA,NA,SAENRW000001,RW,SA,-1.5740599,29.8714701,2127.600098,5,SARW_E29.8725N-1.5725,SAFDRW889066385959,SATLRW585605820553,plantStand tuberYield,no,no,yes,1/4/2021 8:02,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,SAPORW245947464366,"NPK4_UREA2_(3,1)",3.3,3.7,35,202,NA,NA,NA,15,NA,NA,NA,460,SAPSRW000235,NA,NA,NA,NA,NA,NA,0,NA,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot[3],NPK4_UREA2,12.28501229
8,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,1/4/2021 8:03,7bc552b3ea044f02bba8573cbaea00ba,1/4/2021 7:50,4-Jan-21,collect:n2aqFvX7qWib4UeK,NA,ciprwanda2020,NA,NA,SAENRW000001,RW,SA,-1.5740599,29.8714701,2127.600098,5,SARW_E29.8725N-1.5725,SAFDRW889066385959,SATLRW585605820553,plantStand tuberYield,no,no,yes,1/4/2021 8:02,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,SAPORW826520293275,"NPK4_DAP2_(6,1)",3.3,3.8,40,285,NA,NA,NA,20,NA,NA,NA,470,SAPSRW000238,NA,NA,NA,NA,NA,NA,0,NA,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot[6],NPK4_DAP2,15.94896332
9,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,1/4/2021 8:03,7bc552b3ea044f02bba8573cbaea00ba,1/4/2021 7:50,4-Jan-21,collect:n2aqFvX7qWib4UeK,NA,ciprwanda2020,NA,NA,SAENRW000001,RW,SA,-1.5740599,29.8714701,2127.600098,5,SARW_E29.8725N-1.5725,SAFDRW889066385959,SATLRW585605820553,plantStand tuberYield,no,no,yes,1/4/2021 8:02,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,SAPORW263845965096,"NPK11_rep2_(5,1)",3.2,3.75,35,214,NA,NA,NA,19,NA,NA,NA,455,SAPSRW000237,NA,NA,NA,NA,NA,NA,0,NA,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot[5],NPK11,15.83333333
10,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,1/4/2021 8:03,7bc552b3ea044f02bba8573cbaea00ba,1/4/2021 7:50,4-Jan-21,collect:n2aqFvX7qWib4UeK,NA,ciprwanda2020,NA,NA,SAENRW000001,RW,SA,-1.5740599,29.8714701,2127.600098,5,SARW_E29.8725N-1.5725,SAFDRW889066385959,SATLRW585605820553,plantStand tuberYield,no,no,yes,1/4/2021 8:02,uuid:0027203d-768e-4f62-a5f9-819d7e262b90,SAPORW711961668394,"NPK4_MOP2_(1,1)",3.4,3.6,38,222,NA,NA,NA,14,NA,NA,NA,445,SAPSRW000233,NA,NA,NA,NA,NA,NA,0,NA,uuid:0027203d-768e-4f62-a5f9-819d7e262b90/plot[1],NPK4_MOP2,11.4379085
